Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,5462211.31,9663,565.27,91.95,519.77
2,February,29,4884210.01,8762,557.43,89.13,496.84
3,March,31,5228430.89,9129,572.73,86.87,497.53
4,April,30,4264982.84,7898,540.01,77.66,419.37
5,May,31,2980351.94,6583,452.73,62.64,283.59
6,June,30,2514763.45,6648,378.27,65.37,247.28
7,July,31,2826609.65,6670,423.78,63.47,268.97
8,August,31,2824468.22,5586,505.63,53.15,268.74
9,September,30,3466421.25,7491,462.74,73.66,340.85
10,October,31,5269267.15,9332,564.65,88.8,501.41
11,November,30,4962224.31,9072,546.98,89.2,487.91
12,December,31,4980793.02,8296,600.38,78.94,473.94
