GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMCALC_OCCROOMSPERREC_TYPE,SUMCALC_INVROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMDAY_USE_ROOMSPERREC_TYPE,SUMNO_SHOW_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,268294.5692,310,288,0,22,0,714,42,74,1,2,0,0,340,01-Jan-16,01.01.16 Fri,252572.7892,0,0,15721.78,0,0,0,308,340,871.0862635,90.58823529,252572.7892,,15721.78,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,149731.9208,230,217,0,13,0,524,43,123,0,2,1,1,340,02-Jan-16,02.01.16 Sat,142688.2608,0,0,7043.66,0,0,3,228,340,656.718951,67.05882353,142688.2608,,7043.66,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,107957.62,185,177,0,8,0,398,35,80,0,2,3,1,340,03-Jan-16,03.01.16 Sun,103664.81,0,0,4292.81,0,0,0,183,340,589.9323497,53.82352941,103664.81,,4292.81,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,117728.1592,196,190,0,6,0,378,65,54,0,2,1,2,340,04-Jan-16,04.01.16 Mon,114552.4892,0,0,3175.67,0,0,0,194,340,606.8461813,57.05882353,114552.4892,,3175.67,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,130585.0008,218,213,0,5,0,403,68,46,0,2,0,0,340,05-Jan-16,05.01.16 Tue,127962.3008,0,0,2622.7,0,0,0,216,340,604.560189,63.52941176,127962.3008,,2622.7,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,156619.09,260,233,0,27,0,476,87,44,0,2,0,1,340,06-Jan-16,06.01.16 Wed,141828.39,0,0,14790.7,0,0,0,258,340,607.0507364,75.88235294,141828.39,,14790.7,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,169273.9092,272,246,0,26,0,514,84,72,1,2,1,0,340,07-Jan-16,07.01.16 Thu,154909.7092,0,0,14364.2,0,0,0,270,340,626.9404043,79.41176471,154909.7092,,14364.2,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,161908.9108,260,232,0,28,0,500,73,85,1,2,2,0,340,08-Jan-16,08.01.16 Fri,146657.7108,0,0,15251.2,0,0,1,258,340,627.553918,75.88235294,146657.7108,,15251.2,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,173491.8692,283,252,0,31,0,527,110,87,0,2,2,0,340,09-Jan-16,09.01.16 Sat,156703.1692,0,0,16788.7,0,0,0,281,340,617.4087871,82.64705882,156703.1692,,16788.7,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,200665.5617,315,283,0,32,0,536,93,60,4,2,2,1,340,10-Jan-16,10.01.16 Sun,183899.0617,0,0,16766.5,0,0,1,313,340,641.1040309,92.05882353,183899.0617,,16766.5,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,204953.42,310,271,0,39,0,521,57,61,1,2,3,1,340,11-Jan-16,11.01.16 Mon,181240.92,0,0,23712.5,0,0,0,308,340,665.4331818,90.58823529,181240.92,,23712.5,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,197065.81,300,261,0,39,0,488,63,70,0,2,0,2,340,12-Jan-16,12.01.16 Tue,173274.81,0,0,23791,0,0,0,298,340,661.2946644,87.64705882,173274.81,,23791,
,A_STAT,History,86971,86234,124440,23066,476,737,214,481,72981,0,13990,0,23024,1655,136114,124440,43162171.15,0,0,500.5238207,69.29765349,190576.1292,289,254,0,35,0,476,47,58,0,2,1,3,340,13-Jan-16,13.01.16 Wed,168237.1292,0,0,22339,0,0,0,287,340,664.0283246,84.41176471,168237.1292,,22339,
