Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2014-01-01,Wed,338,280548.69,834.97,98.82,825.14
2014-01-02,Thu,335,251676.49,755.79,98.23,742.41
2014-01-03,Fri,304,217654.86,720.71,89.88,647.78
2014-01-04,Sat,276,185090.91,677.99,81.01,549.23
2014-01-05,Sun,264,167119.96,640.31,77.91,498.87
2014-01-06,Mon,250,167357.53,677.56,74.4,504.09
2014-01-07,Tue,244,160645.3,666.58,74.38,495.82
2014-01-08,Wed,258,169359.94,664.16,78.22,519.51
2014-01-09,Thu,277,182551.71,666.25,83.79,558.26
2014-01-10,Fri,259,168927.11,659.87,78.77,519.78
2014-01-11,Sat,254,161553.7,643.64,76.99,495.56
2014-01-12,Sun,243,155242.55,646.84,72.29,467.6
2014-01-13,Mon,279,184997.52,670.28,83.38,558.9
2014-01-14,Tue,322,215257.51,674.79,94.1,634.98
2014-01-15,Wed,317,211138.39,672.42,92.63,622.83
2014-01-16,Thu,332,257744.73,783.42,97.05,760.31
2014-01-17,Fri,318,214566.05,681.16,92.92,632.94
2014-01-18,Sat,340,236449.18,701.63,99.12,695.44
2014-01-19,Sun,339,253904.75,755.67,99.12,748.98
2014-01-20,Mon,339,255045.41,759.06,99.12,752.35
2014-01-21,Tue,339,253808.28,755.38,99.12,748.7
2014-01-22,Wed,339,237957.73,708.21,99.12,701.94
2014-01-23,Thu,339,231357.76,688.56,99.12,682.47
2014-01-24,Fri,260,180296.96,701.54,76.04,533.42
2014-01-25,Sat,305,215667.19,714.13,89.35,638.07
2014-01-26,Sun,326,260302.18,805.89,95.28,767.85
2014-01-27,Mon,339,287930.0,856.93,99.12,849.35
2014-01-28,Tue,339,298699.6,886.35,99.41,881.12
2014-01-29,Wed,339,280512.42,832.38,99.41,827.47
2014-01-30,Thu,339,251891.92,747.45,99.41,743.04
2014-01-31,Fri,296,186088.09,632.95,86.98,550.56
2014-02-01,Sat,328,221129.22,678.31,96.17,652.3
2014-02-02,Sun,311,200943.48,650.3,91.15,592.75
2014-02-03,Mon,329,220484.1,674.26,96.46,650.4
2014-02-04,Tue,339,233076.02,691.62,99.41,687.54
2014-02-05,Wed,340,246289.28,726.52,99.71,724.38
2014-02-06,Thu,340,239454.42,706.36,99.71,704.28
2014-02-07,Fri,301,195155.19,650.52,88.5,575.68
2014-02-08,Sat,265,171906.27,653.64,78.04,510.11
2014-02-09,Sun,263,173158.12,663.44,77.91,516.89
2014-02-10,Mon,315,222021.35,709.33,92.88,658.82
2014-02-11,Tue,338,236456.41,703.74,99.41,699.58
2014-02-12,Wed,318,228031.61,721.62,94.05,678.67
2014-02-13,Thu,331,234722.92,713.44,97.63,696.51
2014-02-14,Fri,262,176427.01,678.57,77.61,526.65
2014-02-15,Sat,220,141447.51,648.84,64.88,420.97
2014-02-16,Sun,245,158154.87,653.53,72.67,474.94
2014-02-17,Mon,256,173898.72,687.35,75.3,517.56
2014-02-18,Tue,264,171258.93,656.16,77.68,509.7
2014-02-19,Wed,260,173905.49,676.68,76.04,514.51
2014-02-20,Thu,299,204256.89,690.06,87.32,602.53
2014-02-21,Fri,283,193962.54,692.72,82.6,572.16
2014-02-22,Sat,310,232049.15,755.86,90.29,682.5
2014-02-23,Sun,322,294253.25,922.42,93.82,865.45
2014-02-24,Mon,339,304282.89,905.6,98.82,894.95
2014-02-25,Tue,340,323114.75,958.8,99.12,950.34
2014-02-26,Wed,329,293121.19,899.14,95.88,862.12
2014-02-27,Thu,333,279769.17,847.79,97.35,825.28
2014-02-28,Fri,285,187601.06,665.25,83.19,553.4
2014-03-01,Sat,255,170320.43,675.87,74.78,505.4
2014-03-02,Sun,294,196072.52,673.79,86.35,581.82
2014-03-03,Mon,324,216407.85,674.17,94.69,638.37
2014-03-04,Tue,340,220447.07,654.15,99.12,648.37
2014-03-05,Wed,334,217837.67,658.12,97.64,642.59
2014-03-06,Thu,287,188205.19,662.69,84.02,556.82
2014-03-07,Fri,296,187996.13,641.63,86.69,556.2
2014-03-08,Sat,267,173936.47,658.85,78.11,514.6
2014-03-09,Sun,311,209875.79,681.41,90.86,619.1
2014-03-10,Mon,321,226557.44,712.44,94.36,672.28
2014-03-11,Tue,318,241729.26,767.39,93.2,715.18
2014-03-12,Wed,340,205949.93,611.13,99.12,605.74
2014-03-13,Thu,322,193768.24,607.42,94.66,574.98
2014-03-14,Fri,285,171519.78,608.23,83.43,507.45
2014-03-15,Sat,296,175527.99,599.07,86.69,519.31
2014-03-16,Sun,288,185504.8,650.89,84.32,548.83
2014-03-17,Mon,292,187565.22,649.01,85.5,554.93
2014-03-18,Tue,331,222963.21,679.77,96.76,657.71
2014-03-19,Wed,332,215698.36,655.62,97.05,636.28
2014-03-20,Thu,327,225345.0,695.51,95.58,664.73
2014-03-21,Fri,296,191421.24,653.31,86.43,564.66
2014-03-22,Sat,319,208641.82,660.26,93.22,615.46
2014-03-23,Sun,339,224393.45,669.83,98.82,661.93
2014-03-24,Mon,340,226324.57,673.59,98.82,665.66
2014-03-25,Tue,340,229025.46,681.62,98.82,673.6
2014-03-26,Wed,331,225420.52,689.36,96.18,663.0
2014-03-27,Thu,339,245262.89,732.13,98.82,723.49
2014-03-28,Fri,311,195978.16,638.37,90.56,578.11
2014-03-29,Sat,310,191299.33,625.16,90.53,565.97
2014-03-30,Sun,309,193587.9,632.64,90.53,572.75
2014-03-31,Mon,331,212045.88,646.48,96.76,625.5
2014-04-01,Tue,322,195846.41,613.94,94.1,577.72
2014-04-02,Wed,287,173609.52,611.3,83.53,510.62
2014-04-03,Thu,321,190580.62,599.31,93.81,562.18
2014-04-04,Fri,286,172142.81,610.44,83.19,507.8
2014-04-05,Sat,293,171717.63,594.18,85.25,506.54
2014-04-06,Sun,321,198497.06,626.17,93.51,585.54
