GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMCALC_OCCROOMSPERREC_TYPE,SUMCALC_INVROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMDAY_USE_ROOMSPERREC_TYPE,SUMNO_SHOW_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,335590.69,340,329,0,11,0,743,64,64,0,0,0,0,340,01-Jan-15,01.01.15 Thu,324906.9,0,0,10683.79,0,0,0,340,340,987.0314412,100,324906.9,,10683.79,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,228670.54,259,248,0,11,0,569,45,123,0,0,1,3,340,02-Jan-15,02.01.15 Fri,221016.24,0,0,7654.3,0,0,2,259,338,882.8978378,76.62721893,221016.24,,7654.3,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,129751.5517,181,170,0,11,0,380,29,108,0,3,0,1,340,03-Jan-15,03.01.15 Sat,122097.2517,0,0,7654.3,0,0,4,178,336,728.9413015,52.97619048,122097.2517,,7654.3,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,97130.55417,143,143,0,0,0,282,32,70,0,3,1,4,340,04-Jan-15,04.01.15 Sun,97006.78417,0,0,123.77,0,0,4,140,336,693.7896726,41.66666667,97006.78417,,123.77,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,85064.03333,126,126,0,0,0,240,25,42,0,3,0,0,340,05-Jan-15,05.01.15 Mon,85064.03333,0,0,0,0,0,4,123,336,691.5775068,36.60714286,85064.03333,,0,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,101955.4542,154,146,0,8,0,287,49,21,0,3,0,1,340,06-Jan-15,06.01.15 Tue,97555.46417,0,0,4399.99,0,0,3,151,337,675.2016832,44.80712166,97555.46417,,4399.99,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,120936.435,187,170,0,17,0,324,66,33,0,3,0,1,340,07-Jan-15,07.01.15 Wed,112553.415,0,0,8383.02,0,0,3,184,337,657.2632337,54.59940653,112553.415,,8383.02,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,134389.5108,206,186,0,20,0,361,63,44,0,3,0,2,340,08-Jan-15,08.01.15 Thu,124732.3408,0,0,9657.17,0,0,3,203,337,662.0172947,60.23738872,124732.3408,,9657.17,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,147318.6742,236,212,0,24,0,412,77,47,0,3,3,0,340,09-Jan-15,09.01.15 Fri,140688.6542,0,0,6630.02,0,0,3,233,337,632.2689878,69.13946588,140688.6542,,6630.02,
,A_STAT,History,86026,85222,122214,21222,435,804,211,558,68727,0,17299,0,21175,1886,130898,124100,47607458.14,0,0,558.628736,69.73178196,138852.9017,227,203,0,24,0,373,71,80,0,3,0,3,340,10-Jan-15,10.01.15 Sat,132984.5117,0,0,5868.39,0,0,3,224,337,619.8790253,66.46884273,132984.5117,,5868.39,
