Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,3600872.13,7870,457.54,74.89,342.65
2,February,28,4052393.85,8415,481.57,88.65,426.91
3,March,31,3952963.07,8832,447.57,84.04,376.14
4,April,30,3542953.15,7724,458.69,75.95,348.38
5,May,31,2456605.55,6202,396.1,59.02,233.78
6,June,30,2267438.4,6118,370.62,60.16,222.96
7,July,31,2874995.09,7526,382.01,71.61,273.56
8,August,31,1639595.85,4508,363.71,42.9,156.03
9,September,30,3267275.91,7537,433.5,74.11,321.27
10,October,31,4145080.57,8475,489.1,80.65,394.46
11,November,30,4876900.29,8982,542.96,88.32,479.54
12,December,31,4443208.79,8120,547.19,77.27,422.81
