Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,4125843.07,8584,480.64,81.68,392.59
2,February,28,3420301.2,7637,447.86,80.46,360.35
3,March,31,3660332.13,8927,410.03,84.95,348.32
4,April,30,3226684.55,8286,389.41,81.47,317.25
5,May,31,1522074.81,4523,336.52,43.04,144.84
6,June,30,1779146.93,5834,304.96,57.36,174.93
7,July,31,1377401.24,4613,298.59,43.9,131.08
8,August,31,1291315.19,4542,284.31,43.22,122.88
9,September,30,1794642.47,6668,269.14,65.57,176.48
10,October,31,2580048.07,6967,370.32,66.3,245.52
11,November,30,3027671.81,7833,386.53,77.02,297.71
12,December,31,2930335.36,6941,422.18,66.05,278.85
