Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2020-01-01,Wed,283,197200.9,699.29,83.19,581.71
2020-01-02,Thu,281,155293.03,554.62,82.6,458.09
2020-01-03,Fri,326,163611.0,503.42,95.87,482.63
2020-01-04,Sat,319,155274.56,488.28,93.81,458.04
2020-01-05,Sun,263,125547.66,479.19,77.29,370.35
2020-01-06,Mon,319,144661.15,454.91,93.81,426.73
2020-01-07,Tue,317,146161.89,462.54,93.22,431.16
2020-01-08,Wed,339,156770.06,462.45,100.0,462.45
2020-01-09,Thu,320,137827.31,432.06,94.1,406.57
2020-01-10,Fri,320,133551.1,418.66,94.1,393.96
2020-01-11,Sat,324,126154.51,390.57,95.28,372.14
2020-01-12,Sun,327,137369.71,421.38,96.17,405.22
2020-01-13,Mon,333,142101.15,428.02,97.94,419.18
2020-01-14,Tue,283,118493.51,420.19,83.19,349.54
2020-01-15,Wed,321,127351.38,397.97,94.4,375.67
2020-01-16,Thu,305,112764.17,370.93,89.68,332.64
2020-01-17,Fri,277,102737.37,372.24,81.42,303.06
2020-01-18,Sat,292,101122.65,347.5,85.84,298.3
2020-01-19,Sun,302,104953.02,348.68,88.79,309.6
2020-01-20,Mon,272,101917.0,376.08,79.94,300.64
2020-01-21,Tue,234,93256.64,400.24,68.73,275.09
2020-01-22,Wed,232,87975.24,380.85,68.14,259.51
2020-01-23,Thu,221,79552.87,361.6,64.9,234.67
2020-01-24,Fri,224,80126.19,359.31,65.78,236.36
2020-01-25,Sat,210,77043.6,368.63,61.65,227.27
2020-01-26,Sun,247,101795.59,413.8,72.57,300.28
2020-01-27,Mon,241,109154.4,454.81,70.8,321.99
2020-01-28,Tue,273,122974.6,452.11,80.24,362.76
2020-01-29,Wed,269,121766.49,454.35,79.06,359.19
2020-01-30,Thu,250,100975.69,405.52,73.45,297.86
2020-01-31,Fri,186,71395.37,385.92,54.57,210.61
2020-02-01,Sat,165,58021.64,353.79,48.38,171.16
2020-02-02,Sun,190,71484.07,378.22,55.75,210.87
2020-02-03,Mon,192,75016.83,392.76,56.34,221.29
2020-02-04,Tue,196,72865.9,373.67,57.52,214.94
2020-02-05,Wed,233,83672.68,360.66,68.44,246.82
2020-02-06,Thu,218,77828.6,358.66,64.01,229.58
2020-02-07,Fri,242,79869.64,331.41,71.09,235.6
2020-02-08,Sat,217,73996.0,342.57,63.72,218.28
2020-02-09,Sun,225,82772.13,369.52,66.08,244.17
2020-02-10,Mon,248,88058.26,356.51,72.86,259.76
2020-02-11,Tue,245,87718.82,359.5,71.98,258.76
2020-02-12,Wed,210,70739.64,338.47,61.65,208.67
2020-02-13,Thu,183,66285.64,364.21,53.69,195.53
2020-02-14,Fri,166,56483.83,342.33,48.67,166.62
2020-02-15,Sat,277,110172.3,399.17,81.42,324.99
2020-02-16,Sun,283,126178.59,447.44,83.19,372.21
2020-02-17,Mon,286,134173.48,470.78,84.07,395.79
2020-02-18,Tue,315,149611.55,476.47,92.63,441.33
2020-02-19,Wed,310,143604.33,464.74,91.15,423.61
2020-02-20,Thu,270,111840.24,415.76,79.35,329.91
2020-02-21,Fri,226,88999.0,395.55,66.37,262.53
2020-02-22,Sat,224,88760.36,398.03,65.78,261.83
2020-02-23,Sun,242,93070.2,386.18,71.09,274.54
2020-02-24,Mon,254,100295.64,396.43,74.63,295.86
2020-02-25,Tue,296,117259.06,397.49,87.02,345.9
2020-02-26,Wed,294,116722.98,398.37,86.43,344.32
2020-02-27,Thu,247,95624.79,388.72,72.57,282.08
2020-02-28,Fri,155,55669.16,361.49,45.43,164.22
2020-02-29,Sat,125,43180.95,348.23,36.58,127.38
2020-03-01,Sun,117,40796.59,351.69,34.22,120.34
2020-03-02,Mon,135,47758.02,356.4,39.53,140.88
2020-03-03,Tue,141,51906.4,370.76,41.3,153.12
2020-03-04,Wed,131,44605.14,343.12,38.35,131.58
2020-03-05,Thu,134,46158.06,347.05,39.23,136.16
2020-03-06,Fri,117,38602.74,332.78,34.22,113.87
2020-03-07,Sat,99,34441.39,351.44,28.91,101.6
2020-03-08,Sun,104,34565.29,335.59,30.38,101.96
2020-03-09,Mon,106,37602.62,358.12,30.97,110.92
2020-03-10,Tue,100,33791.0,341.32,29.2,99.68
2020-03-11,Wed,97,32501.37,338.56,28.32,95.87
2020-03-12,Thu,105,35555.82,341.88,30.68,104.88
2020-03-13,Fri,98,33680.62,347.22,28.61,99.35
2020-03-14,Sat,87,29637.35,344.62,25.37,87.43
2020-03-15,Sun,86,30273.83,356.16,25.07,89.3
2020-03-16,Mon,73,23784.36,330.34,21.24,70.16
2020-03-17,Tue,69,23572.78,346.66,20.06,69.54
2020-03-18,Wed,66,20602.47,316.96,19.17,60.77
2020-03-19,Thu,67,20566.45,311.61,19.47,60.67
