GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMCALC_OCCROOMSPERREC_TYPE,SUMCALC_INVROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMDAY_USE_ROOMSPERREC_TYPE,SUMNO_SHOW_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,209885.323,284,284,0,0,0,568,62,117,0,3,0,2,337,01-Jan-18,01.01.18 Mon,209097.913,0,0,787.41,0,0,5,281,332,746.9228578,84.63855422,209097.913,,787.41,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,147286.2134,255,255,0,0,0,511,57,86,0,3,0,0,337,02-Jan-18,02.01.18 Tue,147286.2134,0,0,0,0,0,6,252,331,584.4691007,76.13293051,147286.2134,,0,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,137774.3121,273,247,0,26,0,500,75,57,0,3,0,0,337,03-Jan-18,03.01.18 Wed,129579.2621,0,0,8195.05,0,0,6,270,331,510.27523,81.57099698,129579.2621,,8195.05,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,134473.3739,289,258,0,31,0,528,57,41,3,3,0,1,337,04-Jan-18,04.01.18 Thu,124291.5839,0,0,10181.79,0,0,6,286,331,470.186622,86.40483384,124291.5839,,10181.79,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,128063.4147,280,239,0,41,0,504,61,70,0,3,0,2,337,05-Jan-18,05.01.18 Fri,114545.8547,0,0,13517.56,0,0,6,277,331,462.3227968,83.6858006,114545.8547,,13517.56,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,112440.916,251,216,0,35,0,442,42,71,0,3,0,0,337,06-Jan-18,06.01.18 Sat,100711.216,0,0,11729.7,0,0,6,248,331,453.3907902,74.9244713,100711.216,,11729.7,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,102986.1853,220,193,0,27,0,351,65,96,0,3,0,2,337,07-Jan-18,07.01.18 Sun,91785.24526,0,0,11200.94,0,0,6,217,331,474.5907155,65.55891239,91785.24526,,11200.94,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,118604.2407,244,208,0,36,0,378,61,37,0,3,0,0,337,08-Jan-18,08.01.18 Mon,99476.63072,0,0,19127.61,0,0,6,241,331,492.1337789,72.80966767,99476.63072,,19127.61,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,114803.3874,243,207,0,36,0,367,46,46,0,3,0,1,337,09-Jan-18,09.01.18 Tue,99534.10741,0,0,15269.28,0,0,6,240,331,478.3474475,72.50755287,99534.10741,,15269.28,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,130536.8353,266,217,0,49,0,411,71,49,2,3,0,2,337,10-Jan-18,10.01.18 Wed,108189.1853,0,0,22347.65,0,0,6,263,331,496.337777,79.45619335,108189.1853,,22347.65,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,156211.966,323,257,0,66,0,539,112,55,2,3,0,2,337,11-Jan-18,11.01.18 Thu,129510.176,0,0,26701.79,0,0,5,320,332,488.1623938,96.38554217,129510.176,,26701.79,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,160325.556,322,276,0,46,0,598,83,84,2,3,0,0,337,12-Jan-18,12.01.18 Fri,140996.416,0,0,19329.14,0,0,3,319,334,502.5879499,95.50898204,140996.416,,19329.14,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,184718.499,337,290,0,47,0,578,94,74,0,0,1,0,337,13-Jan-18,13.01.18 Sat,163498.469,0,0,21220.03,0,0,0,337,337,548.1261097,100,163498.469,,21220.03,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,192778.4908,337,272,0,65,0,548,107,107,0,0,0,2,337,14-Jan-18,14.01.18 Sun,159872.0308,0,0,32906.46,0,0,0,337,337,572.0429994,100,159872.0308,,32906.46,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,196912.8845,337,259,0,78,0,530,73,76,0,0,0,1,337,15-Jan-18,15.01.18 Mon,156286.1545,0,0,40626.73,0,0,0,337,337,584.3112301,100,156286.1545,,40626.73,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,193351.9362,337,251,0,86,0,522,46,46,0,0,0,0,337,16-Jan-18,16.01.18 Tue,150520.3062,0,0,42831.63,0,0,0,337,337,573.7446177,100,150520.3062,,42831.63,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,198610.589,337,269,0,68,0,538,73,72,0,0,0,1,337,17-Jan-18,17.01.18 Wed,164782.909,0,0,33827.68,0,0,0,337,337,589.3489288,100,164782.909,,33827.68,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,178973.6633,322,291,0,31,0,542,102,119,3,2,1,1,337,18-Jan-18,18.01.18 Thu,163685.7833,0,0,15287.88,0,0,1,320,336,559.2926978,95.23809524,163685.7833,,15287.88,
,A_STAT,History,90319,89593,121065,21945,322,726,108,385,76933,0,13386,0,21917,1940,132049,123005,39696896.77,0,0,443.0803386,74.00404741,154875.3909,303,266,0,37,0,502,106,125,0,2,0,3,337,19-Jan-18,19.01.18 Fri,136522.2509,0,0,18353.14,0,0,3,301,334,514.5361823,90.11976048,136522.2509,,18353.14,
