Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,5319099.29,7969,667.47,75.83,506.14
2,February,29,3875575.79,6298,615.37,64.06,394.21
3,March,31,4580611.45,8038,569.87,76.49,435.89
4,April,30,3624387.92,7279,497.92,71.57,356.36
5,May,31,3023226.16,7241,417.52,68.9,287.67
6,June,30,1510861.9,3638,415.3,35.77,148.55
7,July,31,2214368.82,5755,384.77,54.76,210.7
8,August,31,2399495.11,6688,358.78,63.64,228.33
9,September,30,3224258.01,8294,388.75,81.55,317.03
10,October,31,3808020.1,8132,468.28,77.38,362.36
11,November,30,4912073.61,9245,531.32,90.9,482.97
12,December,31,4670192.95,8394,556.37,79.87,444.37
