Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2019-01-01,Tue,324,270198.16,839.12,95.55,801.77
2019-01-02,Wed,337,204836.56,607.82,100.0,607.82
2019-01-03,Thu,318,163922.65,518.74,93.77,486.42
2019-01-04,Fri,286,133862.49,471.35,84.27,397.22
2019-01-05,Sat,248,112004.17,455.3,73.0,332.36
2019-01-06,Sun,216,99661.92,465.71,63.5,295.73
2019-01-07,Mon,257,110841.69,434.67,75.67,328.91
2019-01-08,Tue,274,112782.68,414.64,80.71,334.67
2019-01-09,Wed,274,113268.96,416.43,80.71,336.11
2019-01-10,Thu,302,122391.54,407.97,89.02,363.18
2019-01-11,Fri,250,102026.21,411.4,73.59,302.75
2019-01-12,Sat,251,103455.03,415.48,73.89,306.99
2019-01-13,Sun,229,98738.51,434.97,67.36,292.99
2019-01-14,Mon,249,108942.48,441.06,73.29,323.27
2019-01-15,Tue,242,114741.76,478.09,71.22,340.48
2019-01-16,Wed,253,114242.48,455.15,74.48,339.0
2019-01-17,Thu,250,100324.31,404.53,73.59,297.7
2019-01-18,Fri,217,88357.52,410.97,63.8,262.19
2019-01-19,Sat,259,108473.9,422.08,76.26,321.88
2019-01-20,Sun,266,113573.85,430.2,78.34,337.01
2019-01-21,Mon,323,145500.18,453.27,95.25,431.75
2019-01-22,Tue,292,128198.45,442.06,86.05,380.41
2019-01-23,Wed,279,124533.15,449.58,82.2,369.53
2019-01-24,Thu,285,121243.05,428.42,83.98,359.77
2019-01-25,Fri,277,110397.09,401.44,81.6,327.59
2019-01-26,Sat,250,106492.95,429.41,73.59,316.0
2019-01-27,Sun,285,146584.16,517.97,83.98,434.97
2019-01-28,Mon,327,196071.75,603.3,96.44,581.82
2019-01-29,Tue,337,209818.31,622.61,100.0,622.61
2019-01-30,Wed,335,198325.38,595.57,98.81,588.5
2019-01-31,Thu,292,142031.73,489.76,86.05,421.46
2019-02-01,Fri,260,110711.58,429.11,76.56,328.52
2019-02-02,Sat,211,90918.61,435.02,62.02,269.79
2019-02-03,Sun,210,90980.36,437.41,61.72,269.97
2019-02-04,Mon,232,104318.57,453.56,68.25,309.55
2019-02-05,Tue,258,113971.52,445.2,75.96,338.19
2019-02-06,Wed,273,121225.32,447.33,80.42,359.72
2019-02-07,Thu,259,104778.48,407.7,76.26,310.92
2019-02-08,Fri,214,85963.23,405.49,62.91,255.08
2019-02-09,Sat,211,87006.68,416.3,62.02,258.18
2019-02-10,Sun,188,81294.1,437.07,55.19,241.23
2019-02-11,Mon,198,86387.1,440.75,58.16,256.34
2019-02-12,Tue,213,93525.82,443.25,62.61,277.52
2019-02-13,Wed,248,105059.81,427.07,73.0,311.75
2019-02-14,Thu,270,118856.98,443.5,79.53,352.69
2019-02-15,Fri,302,121944.96,406.48,89.02,361.85
2019-02-16,Sat,321,131872.56,413.39,94.66,391.31
2019-02-17,Sun,325,164606.52,509.62,95.85,488.45
2019-02-18,Mon,337,176055.1,522.42,100.0,522.42
2019-02-19,Tue,337,177337.11,526.22,100.0,526.22
2019-02-20,Wed,337,178071.37,528.4,100.0,528.4
2019-02-21,Thu,325,151182.49,468.06,95.85,448.61
2019-02-22,Fri,290,123837.2,429.99,85.46,367.47
2019-02-23,Sat,261,116109.85,448.3,76.85,344.54
2019-02-24,Sun,263,114380.85,438.24,77.45,339.41
2019-02-25,Mon,305,135661.14,447.73,89.91,402.56
2019-02-26,Tue,315,137591.87,439.59,92.88,408.28
2019-02-27,Wed,337,150969.62,447.98,100.0,447.98
2019-02-28,Thu,337,145682.4,432.29,100.0,432.29
2019-03-01,Fri,302,123819.29,412.73,89.02,367.42
2019-03-02,Sat,233,95950.95,415.37,68.55,284.72
2019-03-03,Sun,315,133941.6,429.3,92.58,397.45
2019-03-04,Mon,319,134994.24,427.2,93.77,400.58
2019-03-05,Tue,317,133115.81,423.94,93.18,395.0
2019-03-06,Wed,336,132789.87,398.77,98.81,394.04
2019-03-07,Thu,294,106804.49,365.77,86.65,316.93
2019-03-08,Fri,284,107747.28,382.08,83.68,319.72
2019-03-09,Sat,272,105024.42,388.98,80.12,311.65
2019-03-10,Sun,299,127717.04,430.02,88.13,378.98
2019-03-11,Mon,303,130816.2,434.61,89.32,388.18
2019-03-12,Tue,314,137838.33,441.79,92.58,409.02
2019-03-13,Wed,310,129505.85,420.47,91.39,384.29
2019-03-14,Thu,308,125844.82,411.26,90.8,373.43
2019-03-15,Fri,290,109637.83,380.69,85.46,325.33
2019-03-16,Sat,242,110715.94,461.32,71.22,328.53
2019-03-17,Sun,242,101322.5,422.18,71.22,300.66
2019-03-18,Mon,239,97954.87,413.31,70.33,290.67
2019-03-19,Tue,307,127560.0,418.23,90.5,378.52
2019-03-20,Wed,300,125593.49,421.45,88.43,372.68
2019-03-21,Thu,302,122785.44,409.28,89.02,364.35
2019-03-22,Fri,300,114904.85,385.59,88.43,340.96
2019-03-23,Sat,226,88560.09,395.36,66.47,262.79
2019-03-24,Sun,208,86597.99,420.38,61.13,256.97
2019-03-25,Mon,248,106060.67,431.14,73.0,314.72
2019-03-26,Tue,265,112064.27,426.1,78.04,332.53
2019-03-27,Wed,264,117859.99,449.85,77.74,349.73
2019-03-28,Thu,330,128245.49,390.99,97.33,380.55
2019-03-29,Fri,320,129444.88,407.06,94.36,384.11
2019-03-30,Sat,314,122238.96,391.79,92.58,362.73
2019-03-31,Sun,324,132874.68,412.65,95.55,394.29
2019-04-01,Mon,229,96541.29,425.29,67.36,286.47
2019-04-02,Tue,224,95674.71,430.97,65.88,283.9
2019-04-03,Wed,226,92887.38,414.68,66.47,275.63
2019-04-04,Thu,247,95177.91,388.48,72.7,282.43
2019-04-05,Fri,228,85895.81,380.07,67.06,254.88
2019-04-06,Sat,204,75881.02,375.65,59.94,225.17
2019-04-07,Sun,229,89347.8,393.6,67.36,265.13
2019-04-08,Mon,261,98083.69,378.7,76.85,291.05
2019-04-09,Tue,285,111786.54,395.01,83.98,331.71
2019-04-10,Wed,315,125222.3,400.07,92.88,371.58
2019-04-11,Thu,287,108569.99,380.95,84.57,322.17
2019-04-12,Fri,258,94948.09,370.89,75.96,281.75
2019-04-13,Sat,233,92515.98,400.5,68.55,274.53
2019-04-14,Sun,273,111009.84,409.63,80.42,329.41
2019-04-15,Mon,305,120601.87,398.03,89.91,357.87
2019-04-16,Tue,313,130229.85,418.75,92.28,386.44
2019-04-17,Wed,327,130996.15,403.07,96.44,388.71
2019-04-18,Thu,326,126907.06,391.69,96.14,376.58
2019-04-19,Fri,294,106056.77,363.21,86.65,314.71
2019-04-20,Sat,248,94395.9,383.72,73.0,280.11
2019-04-21,Sun,298,115594.02,390.52,87.83,343.01
2019-04-22,Mon,304,114917.46,380.52,89.61,341.0
2019-04-23,Tue,294,113896.93,390.06,86.65,337.97
2019-04-24,Wed,320,128467.92,403.99,94.36,381.21
2019-04-25,Thu,308,119149.15,389.38,90.8,353.56
2019-04-26,Fri,299,112232.39,377.89,88.13,333.03
2019-04-27,Sat,267,101554.57,383.22,78.64,301.35
2019-04-28,Sun,283,104663.52,372.47,83.38,310.57
2019-04-29,Mon,282,107863.41,385.23,83.09,320.07
2019-04-30,Tue,319,125615.23,396.26,94.07,372.75
2019-05-01,Wed,291,104062.66,360.08,85.76,308.79
2019-05-02,Thu,262,92922.43,357.39,77.15,275.73
2019-05-03,Fri,198,66993.26,341.8,58.16,198.79
2019-05-04,Sat,150,52885.88,357.34,43.92,156.93
2019-05-05,Sun,137,48259.56,360.15,39.76,143.2
2019-05-06,Mon,127,45885.88,364.17,37.39,136.16
2019-05-07,Tue,120,43959.25,369.41,35.31,130.44
2019-05-08,Wed,129,44670.56,348.99,37.98,132.55
2019-05-09,Thu,165,53709.7,327.5,48.66,159.38
2019-05-10,Fri,156,48986.26,316.04,45.99,145.36
2019-05-11,Sat,133,45784.07,346.85,39.17,135.86
2019-05-12,Sun,138,47705.14,348.21,40.65,141.56
2019-05-13,Mon,156,53623.92,345.96,45.99,159.12
2019-05-14,Tue,160,54356.99,341.87,47.18,161.3
2019-05-15,Wed,137,45806.37,336.81,40.36,135.92
2019-05-16,Thu,125,38245.22,308.43,36.8,113.49
2019-05-17,Fri,116,36180.95,314.62,34.12,107.36
2019-05-18,Sat,128,42706.96,336.28,37.69,126.73
2019-05-19,Sun,145,49201.28,341.68,42.73,146.0
2019-05-20,Mon,140,48766.25,350.84,41.25,144.71
2019-05-21,Tue,135,45272.35,337.85,39.76,134.34
2019-05-22,Wed,124,39846.83,323.96,36.5,118.24
2019-05-23,Thu,122,40439.62,334.21,35.91,120.0
2019-05-24,Fri,116,37396.25,325.18,34.12,110.97
2019-05-25,Sat,129,43387.34,338.96,37.98,128.75
2019-05-26,Sun,133,43412.42,328.88,39.17,128.82
2019-05-27,Mon,147,47927.49,328.27,43.32,142.22
2019-05-28,Tue,147,46024.21,315.23,43.32,136.57
2019-05-29,Wed,134,41384.95,311.17,39.47,122.8
2019-05-30,Thu,118,38197.14,326.47,34.72,113.34
2019-05-31,Fri,105,34073.62,327.63,30.86,101.11
2019-06-01,Sat,97,30788.45,320.71,28.49,91.36
2019-06-02,Sun,99,31233.87,318.71,29.08,92.68
2019-06-03,Mon,117,36071.11,310.96,34.42,107.04
2019-06-04,Tue,171,52927.44,313.18,50.15,157.05
2019-06-05,Wed,236,75829.79,324.06,69.44,225.01
