GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMCALC_OCCROOMSPERREC_TYPE,SUMCALC_INVROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMDAY_USE_ROOMSPERREC_TYPE,SUMNO_SHOW_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,189274.77,289,289,0,0,0,598,35,88,0,3,0,1,343,01-Jan-12,01.01.12 Sun,189184.6,0,0,90.17,0,0,0,286,343,661.7998951,83.3819242,189184.6,,90.17,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,144723.39,263,263,0,0,0,531,32,57,1,3,0,1,343,02-Jan-12,02.01.12 Mon,144723.39,0,0,0,0,0,0,260,343,556.6284231,75.80174927,144723.39,,0,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,132712.2933,257,257,0,0,0,503,67,74,1,4,0,0,343,03-Jan-12,03.01.12 Tue,132712.2933,0,0,0,0,0,0,253,343,524.5545191,73.76093294,132712.2933,,0,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,129867.1533,270,270,0,0,0,525,59,46,4,4,2,3,343,04-Jan-12,04.01.12 Wed,129867.1533,0,0,0,0,0,0,266,343,488.222381,77.55102041,129867.1533,,0,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,132054.6667,273,273,0,0,0,534,54,51,3,4,2,2,343,05-Jan-12,05.01.12 Thu,132054.6667,0,0,0,0,0,0,269,343,490.9095415,78.42565598,132054.6667,,0,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,119717.1067,258,250,0,8,0,502,59,74,0,4,1,1,343,06-Jan-12,06.01.12 Fri,115344.5267,0,0,4372.58,0,0,0,254,343,471.3271916,74.05247813,115344.5267,,4372.58,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,113874.3933,260,221,0,39,0,458,61,59,0,4,1,0,343,07-Jan-12,07.01.12 Sat,92576.56333,0,0,21297.83,0,0,0,256,343,444.821849,74.63556851,92576.56333,,21297.83,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,138867.4433,305,247,0,58,0,503,71,25,0,4,1,3,343,08-Jan-12,08.01.12 Sun,108298.9533,0,0,30568.49,0,0,0,301,343,461.3536323,87.75510204,108298.9533,,30568.49,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,149877.6,316,247,0,69,0,499,45,33,0,4,1,1,343,09-Jan-12,09.01.12 Mon,113323.62,0,0,36553.98,0,0,0,312,343,480.3769231,90.96209913,113323.62,,36553.98,
,A_STAT,History,95130,93735,125530,21479,543,1395,102,520,78686,0,16444,0,21403,8,147484,125538,49664734.01,0,0,529.8419375,74.67139329,153699.3733,314,227,0,87,0,477,65,67,0,4,1,0,343,10-Jan-12,10.01.12 Tue,107274.6133,0,0,46424.76,0,0,0,310,343,495.8044301,90.37900875,107274.6133,,46424.76,
