Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,2478481.85,5623,440.78,53.51,235.86
2,February,28,3517336.11,7158,491.39,75.41,370.56
3,March,31,5380843.21,9211,584.18,87.65,512.03
4,April,30,1248451.07,3509,355.79,34.5,122.75
5,May,31,2187321.26,6212,352.11,59.11,208.13
6,June,30,1081860.71,3809,284.03,37.45,106.37
7,July,31,1180548.66,3987,296.1,37.94,112.34
8,August,31,1221852.69,4195,291.26,39.92,116.27
9,September,30,1404050.56,4464,314.53,43.89,138.05
10,October,31,2553009.09,5956,428.64,56.68,242.95
11,November,30,3219017.02,6644,484.5,65.33,316.52
12,December,31,3127595.61,6024,519.19,57.32,297.6
