Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2021-01-01,Fri,256,111779.59,443.57,76.13,337.7
2021-01-02,Sat,223,79300.28,362.1,66.16,239.58
2021-01-03,Sun,183,54800.19,306.15,55.94,171.25
2021-01-04,Mon,162,48107.89,304.48,47.31,144.04
2021-01-05,Tue,153,46444.35,311.71,44.61,139.05
2021-01-06,Wed,134,38957.38,299.67,38.81,116.29
2021-01-07,Thu,129,36859.66,294.88,37.31,110.03
2021-01-08,Fri,136,39991.79,302.97,39.29,119.02
2021-01-09,Sat,128,36880.42,297.42,36.9,109.76
2021-01-10,Sun,120,31377.75,270.5,34.52,93.39
2021-01-11,Mon,118,31615.52,277.33,33.93,94.09
2021-01-12,Tue,121,32151.46,274.8,34.82,95.69
2021-01-13,Wed,125,35050.18,289.67,36.01,104.32
2021-01-14,Thu,135,35613.6,271.86,38.99,105.99
2021-01-15,Fri,122,32275.9,273.52,35.12,96.06
2021-01-16,Sat,111,28501.67,266.37,31.85,84.83
2021-01-17,Sun,111,28805.68,269.21,31.85,85.73
2021-01-18,Mon,112,28144.23,260.59,32.14,83.76
2021-01-19,Tue,122,30498.03,258.46,35.12,90.77
2021-01-20,Wed,121,31359.53,268.03,34.82,93.33
2021-01-21,Thu,135,35566.17,271.5,38.99,105.85
2021-01-22,Fri,125,31769.31,262.56,36.12,94.83
2021-01-23,Sat,128,32953.38,265.75,37.01,98.37
2021-01-24,Sun,120,29707.7,256.1,34.63,88.68
2021-01-25,Mon,107,26777.48,259.98,30.75,79.93
2021-01-26,Tue,111,29458.5,275.31,32.04,88.2
2021-01-27,Wed,100,24770.57,258.03,28.74,74.16
2021-01-28,Thu,120,31201.89,268.98,34.73,93.42
2021-01-29,Fri,129,32729.29,261.83,37.43,97.99
2021-01-30,Sat,118,29666.59,260.23,34.13,88.82
2021-01-31,Sun,114,28902.99,262.75,33.03,86.8
2021-02-01,Mon,117,29101.6,257.54,33.83,87.13
2021-02-02,Tue,112,27279.01,252.58,32.34,81.67
2021-02-03,Wed,108,26636.62,256.12,31.14,79.75
2021-02-04,Thu,124,30270.29,252.25,35.93,90.63
2021-02-05,Fri,130,32850.06,260.71,37.72,98.35
2021-02-06,Sat,121,29053.84,248.32,34.93,86.73
2021-02-07,Sun,126,30731.4,251.9,36.42,91.74
2021-02-08,Mon,120,29238.57,252.06,34.63,87.28
2021-02-09,Tue,123,29433.96,247.34,35.52,87.86
2021-02-10,Wed,114,26904.9,244.59,32.84,80.31
2021-02-11,Thu,116,27583.61,246.28,33.43,82.34
2021-02-12,Fri,119,29110.97,253.14,34.33,86.9
2021-02-13,Sat,115,27753.81,250.03,33.13,82.85
2021-02-14,Sun,114,27682.84,251.66,32.84,82.64
2021-02-15,Mon,106,24949.86,244.61,30.45,74.48
2021-02-16,Tue,103,25379.55,256.36,29.55,75.76
2021-02-17,Wed,111,26415.73,246.88,31.94,78.85
2021-02-18,Thu,120,28449.71,245.26,34.63,84.92
2021-02-19,Fri,123,29983.86,251.97,35.52,89.5
2021-02-20,Sat,117,27929.92,247.17,33.73,83.37
2021-02-21,Sun,119,28619.94,248.87,34.33,85.43
2021-02-22,Mon,129,32775.46,262.2,37.31,97.84
2021-02-23,Tue,132,31090.32,242.89,38.21,92.81
2021-02-24,Wed,134,32052.09,246.55,38.81,95.68
2021-02-25,Thu,138,31673.61,236.37,40.0,94.55
2021-02-26,Fri,126,29756.31,243.9,36.31,88.56
2021-02-27,Sat,121,27498.75,235.03,34.82,81.84
2021-02-28,Sun,133,31587.16,244.86,38.39,94.01
2021-03-01,Mon,136,34035.99,257.85,39.29,101.3
2021-03-02,Tue,132,33085.79,258.48,38.1,98.47
2021-03-03,Wed,128,32089.55,258.79,36.9,95.5
2021-03-04,Thu,135,35449.44,270.61,38.99,105.5
2021-03-05,Fri,127,31739.06,258.04,36.61,94.46
2021-03-06,Sat,108,26854.56,258.22,30.95,79.92
2021-03-07,Sun,101,24358.73,251.12,28.87,72.5
2021-03-08,Mon,107,25638.85,248.92,30.65,76.31
2021-03-09,Tue,113,28237.5,259.06,32.44,84.04
2021-03-10,Wed,112,27472.16,254.37,32.14,81.76
2021-03-11,Thu,121,30864.75,261.57,35.22,92.13
2021-03-12,Fri,121,30553.18,258.93,35.22,91.2
2021-03-13,Sat,114,26990.45,243.16,33.13,80.57
2021-03-14,Sun,105,25789.09,252.83,30.45,76.98
2021-03-15,Mon,111,26699.68,247.22,32.24,79.7
2021-03-16,Tue,115,27953.88,249.59,33.43,83.44
2021-03-17,Wed,118,29895.8,259.96,34.33,89.24
2021-03-18,Thu,118,30417.69,264.5,34.33,90.8
2021-03-19,Fri,113,28216.0,256.51,32.84,84.23
2021-03-20,Sat,113,29373.89,267.04,32.84,87.68
