Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,5932589.04,9418,629.92,89.62,564.53
2,February,28,5387519.17,8771,614.24,92.4,567.56
3,March,31,5701246.18,9604,593.63,91.39,542.52
4,April,30,4264223.26,8105,526.12,79.7,419.32
5,May,31,4046306.96,7974,507.44,75.88,385.05
6,June,30,3545472.01,7009,505.85,68.92,348.63
7,July,31,2429316.74,5065,479.63,48.2,231.18
8,August,31,3712564.17,6824,544.05,64.93,353.25
9,September,30,4229395.2,7715,548.2,75.86,415.86
10,October,31,5751879.88,9021,637.61,85.84,547.32
11,November,30,6660892.92,9357,711.86,92.01,654.98
12,December,31,5083183.58,7918,641.98,75.34,483.67
