Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,4375299.48,8178,535.01,77.82,416.34
2,February,28,5290499.75,8608,614.6,90.69,557.38
3,March,31,1961151.18,4953,395.95,47.13,186.61
4,April,30,4653775.77,8962,519.28,88.12,457.59
5,May,31,2539017.78,7291,348.24,69.38,241.61
6,June,30,1573950.46,4993,315.23,49.1,154.78
7,July,31,1649843.85,4991,330.56,47.49,156.98
8,August,31,1687633.62,5046,334.45,48.02,160.6
9,September,30,1303823.3,4177,312.14,41.07,128.2
10,October,31,1349107.24,3123,431.99,29.72,128.39
11,November,30,949176.81,2115,448.78,20.8,93.35
12,December,31,855313.91,1391,614.89,13.24,81.41
