GPAGEID,REC_TYPE,REC_TYPE_DESC,SUMNO_ROOMSPERREC_TYPE,SUMCALC_OCCROOMSPERREC_TYPE,SUMCALC_INVROOMSPERREC_TYPE,SUMARRIVAL_ROOMSPERREC_TYPE,SUMCOMPLIMENTARY_ROOMSPERREC_T,SUMHOUSE_USE_ROOMSPERREC_TYPE,SUMDAY_USE_ROOMSPERREC_TYPE,SUMNO_SHOW_ROOMSPERREC_TYPE,SUMIND_DEDUCT_ROOMSPERREC_TYPE,SUMIND_NON_DEDUCT_ROOMSPERREC_,SUMGRP_DEDUCT_ROOMSPERREC_TYPE,SUMGRP_NON_DEDUCT_ROOMSPERREC_,SUMDEPARTURE_ROOMSPERREC_TYPE,SUMOOO_ROOMSPERREC_TYPE,SUMNO_PERSONSPERREC_TYPE,SUMINVENTORY_ROOMSPERREC_TYPE,SUMREVENUEPERREC_TYPE,SUMOWNER_ROOMSPERREC_TYPE,SUMFF_ROOMSPERREC_TYPE,CF_AVERAGE_ROOM_RATE_REC_TYPE,CF_OCCUPANCY_REC_TYPE,REVENUE,NO_ROOMS,IND_DEDUCT_ROOMS,IND_NON_DEDUCT_ROOMS,GRP_DEDUCT_ROOMS,GRP_NON_DEDUCT_ROOMS,NO_PERSONS,ARRIVAL_ROOMS,DEPARTURE_ROOMS,COMPLIMENTARY_ROOMS,HOUSE_USE_ROOMS,DAY_USE_ROOMS,NO_SHOW_ROOMS,INVENTORY_ROOMS,CONSIDERED_DATE,CHAR_CONSIDERED_DATE,IND_DEDUCT_REVENUE,IND_NON_DEDUCT_REVENUE,GRP_NON_DEDUCT_REVENUE,GRP_DEDUCT_REVENUE,OWNER_ROOMS,FF_ROOMS,CF_OOO_ROOMS,CF_CALC_OCC_ROOMS,CF_CALC_INV_ROOMS,CF_AVERAGE_ROOM_RATE,CF_OCCUPANCY,CF_IND_DED_REV,CF_IND_NON_DED_REV,CF_BLK_DED_REV,CF_BLK_NON_DED_REV
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,270198.161,324,295,0,29,0,715,39,54,0,2,0,0,337,01-Jan-19,01.01.19 Tue,250850.851,0,0,19347.31,0,0,2,322,337,839.1247237,95.54896142,250850.851,,19347.31,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,204836.5563,337,267,0,70,0,666,81,64,0,0,1,0,337,02-Jan-19,02.01.19 Wed,171560.9263,0,0,33275.63,0,0,0,337,337,607.8236093,100,171560.9263,,33275.63,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,163922.6492,318,241,0,77,0,630,46,67,1,2,0,3,337,03-Jan-19,03.01.19 Thu,129073.8192,0,0,34848.83,0,0,3,316,337,518.7425607,93.76854599,129073.8192,,34848.83,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,133862.4863,286,225,0,61,0,534,35,67,1,2,1,2,337,04-Jan-19,04.01.19 Fri,108716.6063,0,0,25145.88,0,0,4,284,337,471.3467828,84.27299703,108716.6063,,25145.88,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,112004.1731,248,213,0,35,0,445,41,79,2,2,0,3,337,05-Jan-19,05.01.19 Sat,99344.50306,0,0,12659.67,0,0,4,246,337,455.3015165,72.99703264,99344.50306,,12659.67,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,99661.91571,216,190,0,26,0,363,42,74,2,2,0,2,337,06-Jan-19,06.01.19 Sun,88704.09571,0,0,10957.82,0,0,5,214,337,465.7098865,63.50148368,88704.09571,,10957.82,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,110841.6855,257,177,0,80,0,427,83,42,1,2,0,1,337,07-Jan-19,07.01.19 Mon,82734.91551,0,0,28106.77,0,0,2,255,337,434.6732765,75.66765579,82734.91551,,28106.77,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,112782.682,274,185,0,89,0,469,55,38,1,2,0,1,337,08-Jan-19,08.01.19 Tue,83671.12204,0,0,29111.56,0,0,2,272,337,414.6422134,80.71216617,83671.12204,,29111.56,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,113268.9598,274,187,0,87,0,460,46,46,1,2,1,0,337,09-Jan-19,09.01.19 Wed,86227.1598,0,0,27041.8,0,0,2,272,337,416.4299992,80.71216617,86227.1598,,27041.8,
,A_STAT,History,81355,80856,123005,20002,535,499,128,384,66174,0,15181,0,20010,2249,118030,123005,30735796.7,0,0,380.130067,65.73391326,122391.5384,302,186,0,116,0,496,81,53,1,2,0,1,337,10-Jan-19,10.01.19 Thu,84333.55837,0,0,38057.98,0,0,2,300,337,407.9717946,89.02077151,84333.55837,,38057.98,
