Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,4012910.7,7930,506.04,75.46,381.86
2,February,29,4621058.55,8736,528.97,88.86,470.04
3,March,31,2941030.76,6971,421.9,66.33,279.85
4,April,30,2996072.01,6882,435.35,67.67,294.6
5,May,31,2398211.61,6702,357.84,63.77,228.19
6,June,30,1185848.34,3839,308.9,37.75,116.61
7,July,31,1121533.93,3734,300.36,35.53,106.72
8,August,31,1192028.35,4180,285.17,39.78,113.44
9,September,30,1640654.64,5080,322.96,49.95,161.32
10,October,31,3334202.11,6927,481.33,65.91,317.24
11,November,30,4439420.28,8264,537.2,81.26,436.53
12,December,31,3912146.42,7235,540.73,68.85,372.29
