Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2011-01-01,Sat,294,145688.08,502.37,84.55,424.75
2011-01-02,Sun,252,115222.5,464.61,72.3,335.93
2011-01-03,Mon,240,105861.1,452.4,68.22,308.63
2011-01-04,Tue,228,104321.53,469.92,64.72,304.14
2011-01-05,Wed,224,99062.52,454.42,63.56,288.81
2011-01-06,Thu,213,95426.38,461.0,60.35,278.21
2011-01-07,Fri,194,85877.36,456.79,54.81,250.37
2011-01-08,Sat,205,93034.46,467.51,58.02,271.24
2011-01-09,Sun,236,104268.51,453.34,67.06,303.99
2011-01-10,Mon,274,120973.58,451.39,78.13,352.69
2011-01-11,Tue,250,102312.97,419.32,71.14,298.29
2011-01-12,Wed,249,99940.41,407.92,71.43,291.37
2011-01-13,Thu,248,98458.75,403.52,71.14,287.05
2011-01-14,Fri,212,78638.65,378.07,60.64,229.27
2011-01-15,Sat,187,75183.27,410.84,53.35,219.19
2011-01-16,Sun,199,84357.38,432.6,56.85,245.94
2011-01-17,Mon,235,101537.42,439.56,67.35,296.03
2011-01-18,Tue,265,119431.63,457.59,76.09,348.2
2011-01-19,Wed,303,137666.55,460.42,87.17,401.36
2011-01-20,Thu,298,132589.27,450.98,85.71,386.56
2011-01-21,Fri,259,120279.15,471.68,74.34,350.67
2011-01-22,Sat,259,119462.41,468.48,74.34,348.29
2011-01-23,Sun,307,148926.27,491.51,88.34,434.19
2011-01-24,Mon,343,185275.66,546.54,98.83,540.16
2011-01-25,Tue,343,183206.94,540.43,98.83,534.13
2011-01-26,Wed,343,180522.16,532.51,98.83,526.3
2011-01-27,Thu,238,120829.33,516.36,68.22,352.27
2011-01-28,Fri,194,88865.25,467.71,55.39,259.08
2011-01-29,Sat,223,98568.89,450.09,63.85,287.37
2011-01-30,Sun,250,111686.69,454.01,71.72,325.62
2011-01-31,Mon,305,143397.06,476.4,87.76,418.07
2011-02-01,Tue,317,150367.54,480.41,91.25,438.39
2011-02-02,Wed,343,161838.56,474.6,99.42,471.83
2011-02-03,Thu,338,160075.76,476.42,97.96,466.69
2011-02-04,Fri,326,155931.97,481.27,94.46,454.61
2011-02-05,Sat,340,165013.54,488.21,98.54,481.09
2011-02-06,Sun,338,169721.63,505.12,97.96,494.82
2011-02-07,Mon,343,171858.35,503.98,99.42,501.04
2011-02-08,Tue,343,182770.79,535.98,99.42,532.86
2011-02-09,Wed,339,174401.64,517.51,98.25,508.46
2011-02-10,Thu,338,178105.94,530.08,97.96,519.26
2011-02-11,Fri,301,144957.51,486.43,86.88,422.62
2011-02-12,Sat,232,111179.4,489.78,66.18,324.14
2011-02-13,Sun,245,122627.64,510.95,69.97,357.51
2011-02-14,Mon,221,103549.6,479.4,62.97,301.89
2011-02-15,Tue,229,102994.6,459.8,65.31,300.28
2011-02-16,Wed,251,121107.64,490.31,72.01,353.08
2011-02-17,Thu,266,133369.87,509.05,76.38,388.83
2011-02-18,Fri,224,104047.17,472.94,64.14,303.34
2011-02-19,Sat,232,97431.83,427.33,66.47,284.06
2011-02-20,Sun,261,121498.15,472.76,74.93,354.22
2011-02-21,Mon,322,152505.78,479.58,92.71,444.62
2011-02-22,Tue,310,147645.89,482.5,89.21,430.45
2011-02-23,Wed,342,150099.94,444.08,98.54,437.61
2011-02-24,Thu,288,133466.0,469.95,82.8,389.11
2011-02-25,Fri,323,148045.57,464.09,93.0,431.62
2011-02-26,Sat,327,161347.34,499.53,94.17,470.4
2011-02-27,Sun,342,161806.88,478.72,98.54,471.74
2011-02-28,Mon,334,164627.32,498.87,96.21,479.96
2011-03-01,Tue,342,178045.29,526.76,98.54,519.08
2011-03-02,Wed,316,152212.96,487.86,90.96,443.77
2011-03-03,Thu,272,126693.88,472.74,78.13,369.37
2011-03-04,Fri,236,114108.66,491.85,67.64,332.68
2011-03-05,Sat,247,105730.88,435.11,70.85,308.25
2011-03-06,Sun,263,117451.27,453.48,75.51,342.42
2011-03-07,Mon,289,129569.73,454.63,83.09,377.75
2011-03-08,Tue,296,138911.92,475.73,85.13,404.99
2011-03-09,Wed,281,125487.99,453.03,80.76,365.85
2011-03-10,Thu,241,111715.91,471.38,69.1,325.7
2011-03-11,Fri,203,83910.34,423.79,57.89,245.35
2011-03-12,Sat,216,90645.7,429.6,61.52,264.27
2011-03-13,Sun,255,112288.73,449.15,72.89,327.37
2011-03-14,Mon,261,118446.96,462.68,74.64,345.33
2011-03-15,Tue,319,142261.51,453.06,91.55,414.76
2011-03-16,Wed,300,130527.08,442.46,86.01,380.55
2011-03-17,Thu,280,124280.29,451.93,80.17,362.33
2011-03-18,Fri,277,118419.49,435.37,79.3,345.25
2011-03-19,Sat,269,112568.26,426.39,76.97,328.19
2011-03-20,Sun,267,113803.18,434.36,76.38,331.79
