Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,5176766.04,8916,580.62,84.84,492.6
2,February,28,5176357.65,8734,592.67,92.01,545.32
3,March,31,4701279.5,8884,529.18,84.54,447.37
4,April,30,4792306.44,9331,513.59,91.75,471.22
5,May,31,3764751.33,8406,447.86,79.99,358.24
6,June,30,2194450.56,5500,398.99,54.08,215.77
7,July,31,2105080.74,5909,356.25,56.23,200.32
8,August,31,1795957.65,5052,355.49,48.07,170.88
9,September,30,2394453.82,6241,383.67,61.37,235.46
10,October,31,3191403.65,6687,477.25,63.63,303.67
11,November,30,4055592.95,7986,507.84,78.53,398.81
12,December,31,4361328.38,8305,525.14,79.03,415.02
