Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,4196155.71,6111,686.66,58.15,399.29
2,February,28,4204867.64,5990,701.98,63.11,443.02
3,March,31,4320177.62,6757,639.36,64.3,411.11
4,April,30,3144609.9,5496,572.16,54.04,309.2
5,May,31,2844470.58,5555,512.06,52.86,270.67
6,June,30,2443536.44,5054,483.49,49.7,240.29
7,July,31,1983646.32,4453,445.46,42.37,188.74
8,August,31,1731462.66,3959,437.35,37.67,164.75
9,September,30,1999950.71,4465,447.92,43.9,196.64
10,October,31,3525432.27,6712,525.24,63.87,335.47
11,November,30,4834176.43,8616,561.07,84.72,475.34
12,December,31,3156985.23,5843,540.3,55.6,300.41
