Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2016-01-01,Fri,310,268294.57,871.09,90.59,789.1
2016-01-02,Sat,230,149731.92,656.72,67.06,440.39
2016-01-03,Sun,185,107957.62,589.93,53.82,317.52
2016-01-04,Mon,196,117728.16,606.85,57.06,346.26
2016-01-05,Tue,218,130585.0,604.56,63.53,384.07
2016-01-06,Wed,260,156619.09,607.05,75.88,460.64
2016-01-07,Thu,272,169273.91,626.94,79.41,497.86
2016-01-08,Fri,260,161908.91,627.55,75.88,476.2
2016-01-09,Sat,283,173491.87,617.41,82.65,510.27
2016-01-10,Sun,315,200665.56,641.1,92.06,590.19
2016-01-11,Mon,310,204953.42,665.43,90.59,602.8
2016-01-12,Tue,300,197065.81,661.29,87.65,579.61
2016-01-13,Wed,289,190576.13,664.03,84.41,560.52
2016-01-14,Thu,262,173067.25,665.64,76.47,509.02
2016-01-15,Fri,220,135900.64,623.4,64.12,399.71
2016-01-16,Sat,208,123873.72,601.33,60.59,364.33
2016-01-17,Sun,243,148003.82,614.12,70.88,435.31
2016-01-18,Mon,281,178392.52,639.4,82.06,524.68
2016-01-19,Tue,287,179303.06,629.13,83.82,527.36
2016-01-20,Wed,264,162214.64,619.14,77.06,477.1
2016-01-21,Thu,223,136892.16,619.42,65.0,402.62
2016-01-22,Fri,181,112484.34,628.4,52.65,330.84
2016-01-23,Sat,223,145799.12,659.72,65.0,428.82
2016-01-24,Sun,314,224389.53,721.51,91.47,659.97
2016-01-25,Mon,323,274307.69,857.21,94.12,806.79
2016-01-26,Tue,338,296448.79,884.92,98.53,871.91
2016-01-27,Wed,334,274384.56,831.47,97.06,807.01
2016-01-28,Thu,257,183798.31,726.48,74.41,540.58
2016-01-29,Fri,201,119353.56,605.86,57.94,351.04
2016-01-30,Sat,201,116880.54,593.3,57.94,343.77
2016-01-31,Sun,181,104753.07,591.83,52.06,308.1
2016-02-01,Mon,215,126021.96,597.26,62.06,370.65
2016-02-02,Tue,234,132313.8,575.28,67.65,389.16
2016-02-03,Wed,245,146917.7,609.62,70.88,432.11
2016-02-04,Thu,217,122080.51,573.15,62.65,359.06
2016-02-05,Fri,182,103762.04,582.93,52.35,305.18
2016-02-06,Sat,171,93702.07,561.09,49.12,275.59
2016-02-07,Sun,176,96536.29,561.26,50.59,283.93
2016-02-08,Mon,183,101147.5,561.93,52.94,297.49
2016-02-09,Tue,198,109011.48,559.03,57.35,320.62
2016-02-10,Wed,191,102584.2,545.66,55.29,301.72
2016-02-11,Thu,228,122352.24,543.79,66.18,359.86
2016-02-12,Fri,175,94774.03,551.01,50.59,278.75
2016-02-13,Sat,145,74511.76,524.73,41.76,219.15
2016-02-14,Sun,142,72728.18,523.22,40.88,213.91
2016-02-15,Mon,145,82791.78,583.04,41.76,243.51
2016-02-16,Tue,179,102743.98,583.77,51.76,302.19
2016-02-17,Wed,198,114676.31,588.08,57.35,337.28
2016-02-18,Thu,227,118947.7,531.02,65.88,349.85
2016-02-19,Fri,182,102399.32,572.06,52.65,301.17
2016-02-20,Sat,221,139746.91,641.04,64.12,411.02
2016-02-21,Sun,264,212700.8,814.95,76.76,625.59
2016-02-22,Mon,328,271218.9,834.52,95.59,797.7
2016-02-23,Tue,340,278148.98,818.09,100.0,818.09
2016-02-24,Wed,305,238108.59,788.44,88.82,700.32
2016-02-25,Thu,273,190407.11,705.21,79.41,560.02
2016-02-26,Fri,225,129699.3,584.23,65.29,381.47
2016-02-27,Sat,212,115011.5,550.29,61.47,338.27
2016-02-28,Sun,216,121093.02,565.86,62.94,356.16
2016-02-29,Mon,281,159437.83,571.46,82.06,468.93
2016-03-01,Tue,279,156060.38,563.39,81.47,459.0
2016-03-02,Wed,252,142054.59,568.22,73.53,417.81
2016-03-03,Thu,213,118986.82,563.92,62.06,349.96
2016-03-04,Fri,174,98557.51,573.01,50.59,289.88
2016-03-05,Sat,180,99678.57,559.99,52.35,293.17
2016-03-06,Sun,187,110503.94,597.32,54.41,325.01
2016-03-07,Mon,213,124986.25,592.35,62.06,367.61
2016-03-08,Tue,235,134719.48,578.2,68.53,396.23
2016-03-09,Wed,268,157761.36,593.09,78.24,464.0
2016-03-10,Thu,268,154492.87,580.8,78.24,454.39
