Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,5990558.21,8263,724.99,78.63,570.06
2,February,28,5531708.87,7973,693.81,84.0,582.8
3,March,31,5265057.37,8473,621.39,80.63,501.03
4,April,30,4112110.21,7427,553.67,73.03,404.35
5,May,31,2978430.72,6345,469.41,60.38,283.43
6,June,30,2105129.69,4843,434.67,47.62,206.99
7,July,31,2226886.22,5351,416.16,50.92,211.91
8,August,31,2789290.45,7202,387.29,68.53,265.41
9,September,30,3192152.11,7143,446.89,70.24,313.9
10,October,31,4480567.43,8244,543.49,78.45,426.37
11,November,30,4702729.73,7769,605.32,76.39,462.4
12,December,31,4232837.05,6993,605.3,66.54,402.77
