Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,5107654.16,9391,543.89,89.36,486.02
2,February,28,4381895.66,8449,518.63,89.01,461.63
3,March,31,4032032.64,8449,477.22,80.4,383.68
4,April,30,3509711.86,7961,440.86,78.28,345.11
5,May,31,2492752.05,6819,365.56,64.89,237.21
6,June,30,1828356.69,5162,354.2,50.76,179.79
7,July,31,2402395.27,7267,330.59,69.15,228.6
8,August,31,1901442.6,5647,336.72,53.73,180.92
9,September,30,2795474.0,7915,353.19,77.83,274.89
10,October,31,3186514.0,7137,446.48,67.91,303.2
11,November,30,3918925.95,8337,470.06,81.98,385.36
12,December,31,4139741.83,7785,531.76,74.08,393.93
