Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2017-01-01,Sun,275,231143.51,843.59,81.55,687.93
2017-01-02,Mon,248,146385.35,595.06,73.21,435.67
2017-01-03,Tue,239,131636.0,555.43,72.04,400.11
2017-01-04,Wed,228,128088.24,566.76,69.11,391.71
2017-01-05,Thu,240,126682.08,534.52,73.15,390.99
2017-01-06,Fri,207,105820.89,516.2,62.5,322.62
2017-01-07,Sat,229,114803.69,505.74,69.42,351.08
2017-01-08,Sun,259,128253.56,499.04,78.12,389.83
2017-01-09,Mon,291,145119.34,502.14,87.05,437.11
2017-01-10,Tue,283,142014.67,505.39,84.38,426.47
2017-01-11,Wed,279,139600.53,503.97,83.18,419.22
2017-01-12,Thu,274,140583.78,516.85,82.18,424.72
2017-01-13,Fri,247,120340.56,491.19,73.8,362.47
2017-01-14,Sat,248,122713.41,498.84,74.1,369.62
2017-01-15,Sun,281,138154.84,495.18,84.04,416.13
2017-01-16,Mon,291,140362.31,485.68,87.31,424.06
2017-01-17,Tue,302,149578.25,498.59,90.91,453.27
2017-01-18,Wed,289,151082.37,526.42,87.23,459.22
2017-01-19,Thu,294,147940.49,506.65,88.75,449.67
2017-01-20,Fri,280,142287.66,511.83,85.28,436.47
2017-01-21,Sat,303,151096.39,501.98,91.21,457.87
2017-01-22,Sun,296,159617.79,542.92,89.36,485.16
2017-01-23,Mon,337,190198.24,564.39,100.0,564.39
2017-01-24,Tue,337,185392.96,550.13,100.0,550.13
2017-01-25,Wed,337,199123.17,590.87,100.0,590.87
2017-01-26,Thu,337,199544.23,592.12,100.0,592.12
2017-01-27,Fri,337,209897.14,622.84,100.0,622.84
2017-01-28,Sat,337,217507.37,645.42,100.0,645.42
2017-01-29,Sun,337,253957.54,753.58,100.0,753.58
2017-01-30,Mon,337,307577.07,912.69,100.0,912.69
2017-01-31,Tue,337,310262.61,920.66,100.0,920.66
2017-02-01,Wed,337,299627.4,889.1,100.0,889.1
2017-02-02,Thu,337,255858.3,759.22,100.0,759.22
2017-02-03,Fri,337,205546.47,609.93,100.0,609.93
2017-02-04,Sat,310,168660.29,544.07,95.38,518.95
2017-02-05,Sun,320,175580.98,548.69,96.1,527.27
2017-02-06,Mon,337,179924.6,533.9,100.0,533.9
2017-02-07,Tue,337,183865.7,545.6,100.0,545.6
2017-02-08,Wed,330,195935.09,597.36,98.2,586.63
2017-02-09,Thu,337,183772.91,545.32,100.0,545.32
2017-02-10,Fri,287,145898.41,511.92,84.82,434.22
2017-02-11,Sat,277,136118.48,494.98,81.85,405.11
2017-02-12,Sun,295,153955.53,525.45,87.2,458.2
2017-02-13,Mon,337,188381.83,559.0,100.0,559.0
2017-02-14,Tue,322,170821.14,533.82,95.24,508.4
2017-02-15,Wed,337,187483.16,556.33,100.0,556.33
2017-02-16,Thu,285,158953.88,561.67,84.23,473.08
2017-02-17,Fri,256,140482.52,553.08,75.6,418.1
2017-02-18,Sat,257,141453.44,554.72,75.89,420.99
2017-02-19,Sun,295,165427.74,564.6,87.46,493.81
2017-02-20,Mon,313,172382.68,554.29,92.28,511.52
2017-02-21,Tue,337,185230.37,549.65,100.0,549.65
2017-02-22,Wed,298,162622.45,549.4,88.36,485.44
2017-02-23,Thu,308,177982.48,581.64,91.62,532.88
2017-02-24,Fri,291,169849.19,587.71,86.27,507.01
2017-02-25,Sat,296,163738.18,555.04,88.06,488.77
2017-02-26,Sun,287,204286.28,714.29,85.89,613.47
2017-02-27,Mon,337,251475.12,746.22,100.0,746.22
2017-02-28,Tue,337,251043.03,744.93,100.0,744.93
2017-03-01,Wed,318,230358.5,726.68,95.2,691.77
2017-03-02,Thu,322,213898.39,666.35,96.11,640.41
2017-03-03,Fri,268,145685.36,545.64,79.94,436.18
2017-03-04,Sat,184,94439.08,516.06,55.12,284.46
2017-03-05,Sun,223,119039.06,536.21,66.27,355.34
2017-03-06,Mon,272,147871.13,545.65,81.14,442.73
2017-03-07,Tue,291,161682.09,557.52,86.83,484.08
