Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,3736879.81,8710,429.03,82.88,355.58
2,February,29,2619976.31,6734,389.07,68.5,266.51
3,March,31,855259.87,2568,333.05,24.44,81.4
4,April,30,382931.57,1644,232.93,16.17,37.66
5,May,31,382559.38,1648,232.14,15.68,36.4
6,June,30,396606.94,1737,228.33,17.08,39.0
7,July,31,441188.59,1952,226.02,18.57,41.97
8,August,31,494215.64,2243,220.34,21.34,47.02
9,September,30,541389.69,2556,211.81,25.13,53.23
10,October,31,566338.8,2580,219.51,24.55,53.89
11,November,30,655926.78,2762,237.48,27.16,64.5
12,December,31,1365989.02,4267,320.13,40.6,129.97
