Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,3126228.91,5584,559.85,53.14,297.5
2,February,28,4385951.38,7563,579.92,79.68,462.08
3,March,31,3263856.75,6385,511.18,60.76,310.59
4,April,30,2459888.99,5245,469.0,51.57,241.86
5,May,31,2173461.38,5145,422.44,48.96,206.83
6,June,30,1551962.57,4014,386.64,39.47,152.61
7,July,31,1704630.61,4490,379.65,42.73,162.22
8,August,31,1474585.37,4284,344.21,40.77,140.33
9,September,30,2108754.91,5214,404.44,51.27,207.36
10,October,31,2828866.73,6291,449.67,59.86,269.17
11,November,30,4057399.96,8364,485.1,82.24,398.95
12,December,31,3460240.97,7434,465.46,70.74,329.27
