Date,DOW,Rm Sold,Revenue,ADR,Occupancy_Pct,RevPar
2010-01-01,Fri,316,180829.43,575.89,91.55,527.2
2010-01-02,Sat,222,113707.71,516.85,64.14,331.51
2010-01-03,Sun,163,81402.27,508.76,46.65,237.32
2010-01-04,Mon,126,62947.33,511.77,35.86,183.52
2010-01-05,Tue,129,64338.33,510.62,36.73,187.58
2010-01-06,Wed,137,67050.26,500.38,39.07,195.48
2010-01-07,Thu,128,62905.1,503.24,36.44,183.4
2010-01-08,Fri,139,70226.15,516.37,39.65,204.74
2010-01-09,Sat,132,70319.0,545.11,37.61,205.01
2010-01-10,Sun,146,77811.35,544.14,41.69,226.86
2010-01-11,Mon,156,84986.72,555.47,44.61,247.77
2010-01-12,Tue,146,81451.35,569.59,41.69,237.47
2010-01-13,Wed,133,71592.39,550.71,37.9,208.72
2010-01-14,Thu,154,78527.58,520.05,44.02,228.94
2010-01-15,Fri,134,66080.61,504.43,38.19,192.65
2010-01-16,Sat,134,61990.58,473.21,38.19,180.73
2010-01-17,Sun,148,71811.98,495.26,42.27,209.36
2010-01-18,Mon,145,75930.63,534.72,41.4,221.37
2010-01-19,Tue,151,82241.89,555.69,43.15,239.77
2010-01-20,Wed,154,82872.29,548.82,44.02,241.61
2010-01-21,Thu,151,92002.93,621.64,43.15,268.23
2010-01-22,Fri,150,85742.36,583.28,42.86,249.98
2010-01-23,Sat,176,100770.28,582.49,50.44,293.79
2010-01-24,Sun,251,153607.74,619.39,72.73,450.46
2010-01-25,Mon,337,212358.19,635.8,97.66,620.93
2010-01-26,Tue,330,220957.44,675.71,95.61,646.07
2010-01-27,Wed,302,197759.58,661.4,87.43,578.24
2010-01-28,Thu,241,149296.72,627.3,69.59,436.54
2010-01-29,Fri,196,110444.52,572.25,56.43,322.94
2010-01-30,Sat,161,81123.09,516.71,45.91,237.2
2010-01-31,Sun,196,113143.11,589.29,56.14,330.83
2010-02-01,Mon,291,169480.35,590.52,83.92,495.56
2010-02-02,Tue,293,169354.94,586.0,84.5,495.19
2010-02-03,Wed,273,155441.13,577.85,78.65,454.51
2010-02-04,Thu,240,139254.91,590.06,69.01,407.18
2010-02-05,Fri,218,128072.8,598.47,62.57,374.48
2010-02-06,Sat,238,129875.03,555.02,68.42,379.75
2010-02-07,Sun,238,137569.22,587.9,68.42,402.25
2010-02-08,Mon,220,119193.08,551.82,63.16,348.52
2010-02-09,Tue,270,156148.33,587.02,77.78,456.57
2010-02-10,Wed,278,160437.87,585.54,80.12,469.12
2010-02-11,Thu,251,146416.97,592.78,72.22,428.12
2010-02-12,Fri,274,145702.96,539.64,78.95,426.03
2010-02-13,Sat,287,149787.21,529.28,82.75,437.97
2010-02-14,Sun,267,149440.14,568.21,76.9,436.96
2010-02-15,Mon,316,184219.36,590.45,91.23,538.65
2010-02-16,Tue,337,191964.13,576.47,97.37,561.3
2010-02-17,Wed,340,189048.12,564.32,97.95,552.77
2010-02-18,Thu,327,184435.36,572.78,94.15,539.28
2010-02-19,Fri,296,161184.41,553.9,85.09,471.3
2010-02-20,Sat,341,205532.47,611.7,98.25,600.97
2010-02-21,Sun,339,223149.76,668.11,97.66,652.48
2010-02-22,Mon,336,229421.42,693.12,96.78,670.82
2010-02-23,Tue,329,220382.17,680.19,94.74,644.39
2010-02-24,Wed,262,165564.65,644.22,75.15,484.11
2010-02-25,Thu,203,120846.43,610.34,57.89,353.35
2010-02-26,Fri,155,82208.62,548.06,43.86,240.38
2010-02-27,Sat,163,81295.73,514.53,46.2,237.71
2010-02-28,Sun,181,90523.81,514.34,51.46,264.69
2010-03-01,Mon,197,100292.37,522.36,56.14,293.25
2010-03-02,Tue,204,101316.43,509.13,58.19,296.25
2010-03-03,Wed,223,110120.85,505.14,63.74,321.99
2010-03-04,Thu,201,99587.56,508.1,57.31,291.19
2010-03-05,Fri,184,86368.86,482.51,52.34,252.54
