Month,Month_Name,Days,Total_Revenue,Total_Rooms_Sold,ADR,Occupancy_Pct,RevPar
1,January,31,6781344.42,9448,717.75,89.9,645.26
2,February,28,6130331.81,8465,724.2,89.18,645.84
3,March,31,6376629.57,9725,655.69,92.54,606.78
4,April,30,5338808.37,8567,623.18,84.24,524.97
5,May,31,4071966.71,7388,551.16,70.3,387.47
6,June,30,3258267.84,6100,534.14,59.98,320.38
7,July,31,2074936.97,3687,562.77,35.08,197.42
8,August,31,3362855.31,6062,554.74,57.68,319.97
9,September,30,3989218.72,6949,574.07,68.33,392.26
10,October,31,5338331.36,8161,654.13,77.66,508.0
11,November,30,5197109.82,7743,671.2,76.14,511.05
12,December,31,4177148.41,6276,665.57,59.72,397.48
